"genes"	"NF54.37.1"	"NF54.37.2"	"NF54.41.1"	"NF54.41.2"	"PB4.37.1"	"PB4.37.2"	"PB4.41.1"	"PB4.41.2"	"PB31.37.1"	"PB31.37.2"	"PB31.41.1"	"PB31.41.2"
"PF3D7.0214700"	74.32	105.64	32.71	19.9	106.02	117.66	39.23	39.83	168.47	339.97	104.94	27.79
"PF3D7.0214900"	113.1	203	25.08	32.45	144.36	204.35	36.16	94.27	581.36	635.08	94.07	29.52
"PF3D7.0215000"	168.14	147.48	59.67	57.75	224.41	196.94	101.25	143.75	104.54	81.76	186.34	104.38
"PF3D7.0215100"	117.15	106.69	72.23	98.77	135.84	117.16	96.31	114.06	194.07	147.66	122.73	108.18
"PF3D7.0215200"	15.4	23.86	25.12	28.27	24.05	24.28	35.02	26.46	37.16	64.07	25.42	29.66
"PF3D7.0215300"	65.1	57.28	12.91	7.19	52.12	55.67	27.63	38.77	21.09	103.41	34.81	31.07
"PF3D7.0215400"	152.8	128.63	112.43	125.49	135.22	125.46	151.71	126.99	137.94	177.36	117.11	149.99
"PF3D7.0215500"	42.28	38.44	58.97	48.08	37.22	32.71	55.51	58.09	30.4	45.49	35.18	51.52
"PF3D7.0215600"	70.91	56.95	108.69	72.55	81.98	64.42	120.63	99.23	68.56	58.18	83.74	109
"PF3D7.0215700"	154.33	150.87	215.91	188.39	98.96	136.95	186.19	231.32	104.85	87.94	165.67	234.74
"PF3D7.0216200"	48.73	42.56	59.57	53.96	52.12	50.73	100.47	71.15	26.76	52.27	75.75	78.15
"PF3D7.0216600"	89.8	94.9	37.78	31.59	81.85	104.28	68.68	80.88	128.42	93.64	72.24	65.03
"PF3D7.0217400"	109.37	77.94	134.55	115.77	148.9	119.15	189.12	81.75	130.01	125.97	162.25	143.09
"PF3D7.0217500"	161.64	257.32	26.9	18.63	155.55	247.56	41.22	71.74	489.89	481.96	119.08	17.64
"PF3D7.0217600"	26.07	21.47	23.75	27.33	28.8	28.39	29.94	31.66	24.42	33.12	27.56	28.76
"PF3D7.0217700"	148.31	130.49	401.81	299.6	97.89	111.49	495.41	245.78	47.08	151.6	182.9	252.5
"PF3D7.0218300"	24.83	33.11	67.13	67.5	39.53	26.96	51.23	28.83	49.04	41.99	34.53	42.25
"PF3D7.0218400"	77.55	68.17	107.85	85.96	71.54	82.2	158.7	141.33	36.03	70.33	88.42	108.32
"PF3D7.0218500"	371.76	321.96	422.99	474.52	299.17	259.3	542.62	512.7	262.36	243.48	487.63	473.61
"PF3D7.0218600"	27.92	28.75	74.88	74.87	21.74	17.29	59.19	50.83	26.32	34.06	40.43	56.42
"PF3D7.0218700"	132.43	121.45	138.15	141.04	137.6	113.51	245.07	183.94	66.64	150.17	111.38	144.48
"PF3D7.0219200"	10670.6	8173.2	14530.1	14639.1	5515.17	6121.55	18450.3	17553.7	5724.14	4618.33	12407.9	18526.8
"PF3D7.0219300"	38.45	23.32	33.05	29.9	38.77	16.5	78.68	31.84	33.37	46.54	23.5	39.5
"PF3D7.0219700"	223	172.98	35.04	39.8	293.76	282.74	112.31	162.25	74.29	206.39	103.11	99.88
"PF3D7.0219800"	99.4	105.83	45.73	34.45	115.78	98.9	66.83	69.05	114.42	155.05	71.24	75.72
"PF3D7.0220000"	527.87	715.37	161.2	168.15	609.88	906.51	208.05	457.73	419.19	1539.98	314.23	247.15
"PF3D7.0220100"	53.62	63.94	35.45	53.35	52.35	63.54	66.58	74.56	22.26	44.95	44.72	60.02
"PF3D7.0220200"	1015.2	787.26	3166.36	2390.5	802.9	563.59	3646.44	1824.21	773.7	1454.84	2509.86	3615.29
"PF3D7.0220300"	15.15	15.8	80.05	75.43	1.81	14.64	109.55	66.52	15.65	12.36	87.28	156.79
"PF3D7.0220500"	100.53	80.7	143.82	135.5	128.29	98.9	388.29	269.46	227.62	433.63	273.51	337.85
"PF3D7.0220600"	205.4	119.22	405.77	334.33	158.2	97.85	621.62	430.62	101.21	236.7	423.51	588.54
"PF3D7.0220800"	56.27	108.81	21.47	22.57	61.86	85	24.82	48.11	457.94	260.06	49.36	18.7
"PF3D7.0221200"	21	24.2	135.61	168.68	10.79	7.87	96.36	62.82	20.93	18.14	75.98	150.6
"PF3D7.0221500"	3.11	0	49.21	40.86	0	0	1.95	4.19	0	2.85	8.05	9.23
"PF3D7.0221700"	60.89	35.59	41.6	39.89	67.93	50.29	113.03	117.92	21	105.66	69.25	107.15
